Model,Batch Size,Inference Time Mean,Inference Time CI
microsoft/mdeberta-v3-base,2,0.019987831241451204,8.323817657264857e-05
microsoft/mdeberta-v3-base,4,0.019421701435931027,5.451047968133826e-05
microsoft/mdeberta-v3-base,8,0.02000235323794186,0.00018492842414690927
microsoft/mdeberta-v3-base,16,0.021362964995205402,0.00022147768607054953
microsoft/mdeberta-v3-base,32,0.021763378754258156,0.0006970748780931081
