Model,Inference Time Mean,Inference Time CI
Qwen/Qwen2-0.5B-Chat,0.0298236096277833,0.00107370307297604
Qwen/Qwen2-1.5B-Chat,0.029302998445928097,0.0002061720621249158
google/gemma-2-2b,0.03957436606287956,0.00022431128989144878
google/gemma-2-9b,0.06528282117843628,0.001134071076073073
CohereForAI/aya-23-8B,0.07377603277564049,0.07361208858812998
meta-llama/Meta-Llama-3.1-8B,0.03944206237792969,0.007602243112898914487
